Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6
T01,HUDAA,STP,60,11,19,79,54,11
T01,HUD,RSVP,59,11,11,82,60,11
T01,HUDAA,RSVP,40,11,11,89,28,11
T01,HUD,STP,61,11,18,72,51,11
T02,HUDAA,RSVP,16,2,43,86,4,10
T02,HUD,STP,70,0,10,86,10,80
T02,HUDAA,STP,11,0,11,50,79,11
T02,HUD,RSVP,58,10,11,73,65,51
T03,HUD,RSVP,100,10,90,50,80,20
T03,HUDAA,RSVP,10,9,10,81,61,8
T03,HUD,STP,70,11,70,60,60,11
T03,HUDAA,STP,5,5,5,91,50,9
T04,HUD,STP,54,65,59,67,14,3
T04,HUDAA,STP,26,6,19,69,25,7
T04,HUD,RSVP,46,18,41,52,22,9
T04,HUDAA,RSVP,27,8,53,54,8,4
T05,HUDAA,STP,57,25,66,61,40,36
T06,HUDAA,STP,71,19,62,73,80,60
T06,HUD,RSVP,64,11,75,57,64,69
T06,HUDAA,RSVP,18,9,22,85,36,23
T06,HUD,STP,81,72,68,67,77,51
