Participant_ID,TPT,AA,MSWR
P06,STP,Audio Assistance Disabled,0.192267
P06,STP,Audio Assistance Disabled,14.337596
P06,STP,Audio Assistance Enabled,8.322397
P06,STP,Audio Assistance Enabled,3.817866
P06,RSVP,Audio Assistance Disabled,44.743187
P06,RSVP,Audio Assistance Enabled,16.040529
P07,STP,Audio Assistance Disabled,23.566393
P07,STP,Audio Assistance Disabled,7.251198
P07,STP,Audio Assistance Enabled,8.54213
P07,STP,Audio Assistance Enabled,18.759727
P07,RSVP,Audio Assistance Disabled,0.1648
P07,RSVP,Audio Assistance Disabled,5.520798
P07,RSVP,Audio Assistance Enabled,8.734397
P07,RSVP,Audio Assistance Enabled,9.750664
P08,STP,Audio Assistance Disabled,-0.714133
P08,STP,Audio Assistance Disabled,9.530931
P08,STP,Audio Assistance Enabled,-0.1648
P08,STP,Audio Assistance Enabled,1.373333
P08,RSVP,Audio Assistance Disabled,17.111729
P08,RSVP,Audio Assistance Disabled,0.109867
P08,RSVP,Audio Assistance Enabled,0.0824
P08,RSVP,Audio Assistance Enabled,3.515732
P10,STP,Audio Assistance Disabled,14.392529
P10,STP,Audio Assistance Disabled,-6.234931
P10,STP,Audio Assistance Enabled,13.898129
P10,STP,Audio Assistance Enabled,-0.549333
P10,RSVP,Audio Assistance Disabled,39.359722
P10,RSVP,Audio Assistance Disabled,0.2472
P10,RSVP,Audio Assistance Enabled,12.634663
P10,RSVP,Audio Assistance Enabled,-0.384533
P11,STP,Audio Assistance Disabled,0.0824
P11,STP,Audio Assistance Disabled,17.743462
P11,STP,Audio Assistance Enabled,0.054933
P11,STP,Audio Assistance Enabled,-1.510666
P11,RSVP,Audio Assistance Disabled,0.851466
P11,RSVP,Audio Assistance Disabled,12.469863
P11,RSVP,Audio Assistance Enabled,0.054933
P11,RSVP,Audio Assistance Enabled,-0.192267
P12,STP,Audio Assistance Disabled,22.962126
P12,STP,Audio Assistance Disabled,22.275459
P12,STP,Audio Assistance Enabled,12.00293
P12,STP,Audio Assistance Enabled,-0.466933
P12,RSVP,Audio Assistance Disabled,21.423994
P12,RSVP,Audio Assistance Enabled,26.97226
P12,RSVP,Audio Assistance Enabled,0.3296
P13,STP,Audio Assistance Disabled,0.3296
P13,STP,Audio Assistance Disabled,9.009064
P13,STP,Audio Assistance Enabled,17.249062
P13,RSVP,Audio Assistance Disabled,35.129856
P13,RSVP,Audio Assistance Disabled,0.878933
P14,STP,Audio Assistance Disabled,-0.109867
P14,STP,Audio Assistance Disabled,-0.851466
P14,STP,Audio Assistance Enabled,3.076266
P14,STP,Audio Assistance Enabled,13.843196
P14,RSVP,Audio Assistance Disabled,-0.549333
P14,RSVP,Audio Assistance Disabled,1.181066
P14,RSVP,Audio Assistance Enabled,12.634663
P14,RSVP,Audio Assistance Enabled,-0.439467
P15,STP,Audio Assistance Disabled,-0.109867
P15,STP,Audio Assistance Enabled,0.0824
P15,STP,Audio Assistance Enabled,-0.027467
P15,RSVP,Audio Assistance Disabled,22.220528
P15,RSVP,Audio Assistance Enabled,20.984528
P15,RSVP,Audio Assistance Enabled,-0.5768
P16,STP,Audio Assistance Disabled,0.219733
P16,STP,Audio Assistance Disabled,10.547197
P16,STP,Audio Assistance Enabled,8.404798
P16,STP,Audio Assistance Enabled,1.236
P16,RSVP,Audio Assistance Disabled,25.901058
P16,RSVP,Audio Assistance Disabled,-0.521867
P16,RSVP,Audio Assistance Enabled,26.340525
P17,STP,Audio Assistance Disabled,0.109867
P17,STP,Audio Assistance Disabled,24.719994
P17,STP,Audio Assistance Enabled,6.564531
P17,STP,Audio Assistance Enabled,4.559465
P17,RSVP,Audio Assistance Disabled,14.529862
P17,RSVP,Audio Assistance Disabled,1.1536
P17,RSVP,Audio Assistance Enabled,11.041596
P17,RSVP,Audio Assistance Enabled,17.935728
P18,STP,Audio Assistance Disabled,1.675466
P18,STP,Audio Assistance Enabled,-0.137333
P18,STP,Audio Assistance Enabled,-0.1648
P18,RSVP,Audio Assistance Disabled,38.096256
P18,RSVP,Audio Assistance Disabled,13.074129
P18,RSVP,Audio Assistance Enabled,0.357067
P18,RSVP,Audio Assistance Enabled,3.076266
P19,STP,Audio Assistance Disabled,42.023987
P19,STP,Audio Assistance Disabled,12.277596
P19,STP,Audio Assistance Enabled,1.895199
P19,STP,Audio Assistance Enabled,0
P19,RSVP,Audio Assistance Disabled,0.1648
P19,RSVP,Audio Assistance Disabled,20.545061
P19,RSVP,Audio Assistance Enabled,0.412
P19,RSVP,Audio Assistance Enabled,10.68453
P20,STP,Audio Assistance Disabled,-0.384533
P20,STP,Audio Assistance Enabled,-0.6592
P20,RSVP,Audio Assistance Disabled,2.307199
P20,RSVP,Audio Assistance Enabled,30.433058
P20,RSVP,Audio Assistance Enabled,-0.549333
P21,STP,Audio Assistance Disabled,5.658132
P21,STP,Audio Assistance Enabled,1.1536
P21,RSVP,Audio Assistance Disabled,5.273599
P21,RSVP,Audio Assistance Disabled,8.78933
P21,RSVP,Audio Assistance Enabled,7.718131
P21,RSVP,Audio Assistance Enabled,0.2472
P22,STP,Audio Assistance Disabled,3.845332
P22,STP,Audio Assistance Disabled,9.860531
P22,STP,Audio Assistance Enabled,14.227729
P22,STP,Audio Assistance Enabled,8.597064
P22,RSVP,Audio Assistance Disabled,0.466933
P22,RSVP,Audio Assistance Disabled,23.42906
P22,RSVP,Audio Assistance Enabled,-0.054933
P22,RSVP,Audio Assistance Enabled,6.646931
P23,STP,Audio Assistance Disabled,5.795465
P23,STP,Audio Assistance Disabled,7.086398
P23,STP,Audio Assistance Enabled,0.302133
P23,RSVP,Audio Assistance Disabled,0.3296
P23,RSVP,Audio Assistance Enabled,0.9064
P23,RSVP,Audio Assistance Enabled,5.438398
P24,STP,Audio Assistance Disabled,0.0824
P24,STP,Audio Assistance Enabled,4.806665
P24,RSVP,Audio Assistance Disabled,14.529862
P24,RSVP,Audio Assistance Disabled,-0.549333
P24,RSVP,Audio Assistance Enabled,1.895199
P25,STP,Audio Assistance Disabled,27.301859
P25,STP,Audio Assistance Disabled,5.301065
P25,STP,Audio Assistance Enabled,0.2472
P25,STP,Audio Assistance Enabled,0.027467
P25,RSVP,Audio Assistance Disabled,-0.1648
P25,RSVP,Audio Assistance Disabled,1.895199
P25,RSVP,Audio Assistance Enabled,12.964263
P25,RSVP,Audio Assistance Enabled,3.076266
P26,STP,Audio Assistance Disabled,4.943998
P26,STP,Audio Assistance Disabled,-0.0824
P26,STP,Audio Assistance Enabled,11.34373
P26,STP,Audio Assistance Enabled,0.0824
P26,RSVP,Audio Assistance Disabled,2.417066
P26,RSVP,Audio Assistance Disabled,27.549059
P26,RSVP,Audio Assistance Enabled,39.222389
P26,RSVP,Audio Assistance Enabled,5.191198
P27,STP,Audio Assistance Disabled,-0.192267
P27,STP,Audio Assistance Disabled,7.663198
P27,STP,Audio Assistance Enabled,13.953062
P27,STP,Audio Assistance Enabled,6.042665
P27,RSVP,Audio Assistance Disabled,-0.686666
P27,RSVP,Audio Assistance Disabled,20.023193
P27,RSVP,Audio Assistance Enabled,12.799463
P27,RSVP,Audio Assistance Enabled,5.685598
P28,STP,Audio Assistance Disabled,9.283731
P28,STP,Audio Assistance Disabled,14.035462
P28,STP,Audio Assistance Enabled,10.876797
P28,STP,Audio Assistance Enabled,29.609058
P28,RSVP,Audio Assistance Disabled,12.74453
P28,RSVP,Audio Assistance Enabled,34.250923
P29,STP,Audio Assistance Disabled,17.001862
P29,STP,Audio Assistance Enabled,10.68453
P29,RSVP,Audio Assistance Disabled,-1.181066
P29,RSVP,Audio Assistance Disabled,1.345866
P29,RSVP,Audio Assistance Enabled,35.239723
P29,RSVP,Audio Assistance Enabled,-0.4944
P30,STP,Audio Assistance Disabled,10.629597
P30,STP,Audio Assistance Disabled,0.466933
P30,STP,Audio Assistance Enabled,1.043733
P30,STP,Audio Assistance Enabled,18.237862
P30,RSVP,Audio Assistance Disabled,0.302133
P30,RSVP,Audio Assistance Disabled,0.027467
P30,RSVP,Audio Assistance Enabled,14.447462
P30,RSVP,Audio Assistance Enabled,0.686666
